group,Cl,gl_e_wv,gl_sh,rbl_max,rbl_min,tmin_close,tmin_open,vpd_close,vpd_open
C3,0.007,0.02,0.92,50,20,-8,12.02,650,4500
C4,0.007,0.02,0.92,50,20,-8,12.02,650,4500
CRO,0.007,0.02,0.92,50,20,-8,12.02,650,4500
CSH,0.0065,0.04,0.04,55,20,-8,8.61,650,4300
DBF,0.0028,0.01,0.01,100,65,-6,9.94,650,2900
DNF,0.0032,0.04,0.04,95,65,-8,10.44,650,3500
EBF,0.0025,0.01,0.01,100,70,-8,9.09,1000,4000
ENF,0.0032,0.04,0.04,95,65,-8,8.31,650,3000
GRA,0.007,0.02,0.02,50,20,-8,12.02,650,4200
MF,0.0025,0.04,0.04,95,65,-7,9.5,650,2900
OSH,0.0065,0.04,0.04,55,20,-8,8.8,650,4400
SAV,0.0065,0.08,0.08,45,25,-8,11.39,650,3500
WSA,0.0065,0.08,0.08,45,25,-8,11.39,650,3500
